Playoffs,,,,,,,,
Season,FG%,3P%,FT%,RB,AST,STL,BLK,PTS
2005-06,47.60%,33.30%,73.70%,8.1,5.8,1.4,0.7,30.8
2006-07,41.60%,28.00%,75.50%,8.1,8,1.7,0.5,25.1
2007-08,41.10%,25.70%,73.10%,7.8,7.6,1.8,1.3,28.2
2008-09,51.00%,33.30%,74.90%,9.1,7.3,1.6,0.9,35.3
2009-10,50.20%,40.00%,73.30%,9.3,7.6,1.7,1.8,29.1
2010-11,46.60%,35.30%,76.30%,8.4,5.9,1.7,1.2,23.7
2011-12,50.00%,25.90%,73.90%,9.7,5.6,1.9,0.7,30.3
2012-13,49.10%,37.50%,77.70%,8.4,6.6,1.8,0.8,25.9
2013-14,56.50%,40.70%,80.60%,7.1,4.8,1.8,0.6,27.4
2014-15,41.70%,22.70%,73.10%,11.3,8.5,1.7,1.1,30.1
2015-16,52.50%,34.00%,66.10%,9.5,7.6,2.3,1.3,26.3
2016-17,56.50%,41.10%,69.80%,9.1,7.8,1.9,1.3,32.8
2017-18,53.90%,34.20%,74.60%,9.1,9,1.4,1,34
2019-20,56.00%,37.00%,72.00%,10.8,8.8,1.2,0.9,27.6
2020-21,47.40%,37.50%,60.90%,7.2,8,1.5,0.3,23.3
2022-23,49.80%,26.40%,76.10%,9.9,6.5,1.1,1.1,24.5
2023-24,56.60%,38.50%,73.90%,6.8,8.8,2.4,1,27.8
Career,49.70%,33.20%,74.10%,9,7.2,1.7,1,28.4
